CUSCOD,CUSTYP,CUSNMF,CUSNML,CUSDOB,ADDRS1,ADDRS2,ADDRS3,ADDRS4,CITYNM,TELENO,MOBLNO,TELXNO,FAXNO,MAILID,SPONAM,GENDER,CUSSTS,NATLID,TIMSTAMP,OPRBRA
00050188,COR,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 708,Garciastad,Kansas,Garciastad,+1-564-217-0805x9665,377-997-1775,+1-564-217-0805x9665,,,Daniel Schneider,M,ACT,9607076,2014-02-19 14:17:35.350906,049
00050189,REG,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 798,Garciastad,Tennessee,Garciastad,001-564-217-0805x235,+1-375-350-3758x99757,001-564-217-0805x235,6165608801,,,M,SUSP,4918428,2020-12-22 13:25:28.292065,049
00050190,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New York,Teresaburgh,653-876-7242,(561)949-3316,653-876-7242,205.454.8851,sk.mahbub@example.com,,C,ACT,8387333,2021-04-04 10:02:07.714732,005
00050191,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Illinois,Teresaburgh,653-876-7242,001-951-260-9177x982,653-876-7242,,sk.mahbub@example.com,,F,INACT,8086460,2022-07-24 22:34:51.613740,038
00050192,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Louisiana,Teresaburgh,+1-653-876-7242x1644,(554)572-2698x4858,+1-653-876-7242x1644,882.592.2169x9586,,Amber Mcconnell,F,ACT,4576177,2022-11-06 02:55:14.144827,019
00050193,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Nevada,Teresaburgh,+1-653-876-7242x3447,6814062003,+1-653-876-7242x3447,001-845-622-8851x587,,,C,SUSP,7019127,2010-04-07 15:31:46.831661,024
00050194,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 122,Teresaburgh,North Carolina,Teresaburgh,+1-653-876-7242x9261,001-940-566-6580x043,+1-653-876-7242x9261,880.557.1983,sk.mahbub@example.com,Miss Brianna Brown,M,ACT,9380449,2021-10-04 07:28:51.626844,014
00050195,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Ohio,Franciscostad,283-486-3794,001-293-834-7212x2816,283-486-3794,,golam.zubayed@example.com,Michele Holland,C,INACT,3483337,2021-03-04 15:33:53.096641,041
00050196,REG,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Alabama,Franciscostad,+1-283-486-3794x2149,372-702-5909x47985,+1-283-486-3794x2149,,golam.zubayed@example.com,Dennis Martin,C,SUSP,6101112,2022-12-28 16:51:15.765616,048
00050197,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 678,Franciscostad,Mississippi,Franciscostad,+1-283-486-3794x8665,539-287-8015x7399,+1-283-486-3794x8665,(768)786-1533,,Tina Meyer,M,INACT,9407762,2021-10-18 04:43:36.731876,003
00050198,STF,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Tennessee,Franciscostad,283-486-3794,358.511.2880,283-486-3794,261-664-8408x58877,,,M,INACT,8487927,2019-09-21 15:20:04.964264,040
00050199,REG,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 516,Franciscostad,Idaho,Franciscostad,001-283-486-3794x860,281-893-4667x665,001-283-486-3794x860,001-336-213-8612x07501,golam.zubayed@example.com,,F,SUSP,7493685,2019-06-24 09:38:35.144463,002
DUP00000,STF,MD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Alaska,Lake Crystalbury,430-639-1171,001-543-532-1819x6001,430-639-1171,,mohi.uddin@example.com,,C,SUSP,9065939,2018-11-10 11:11:11.111111,045
DUP00002,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,Iowa,Lake Crystalbury,+1-430-639-1171x3463,664-375-2553,+1-430-639-1171x3463,+1-649-359-3103,mohi.uddin@example.com,Kimberly Dudley,C,ACT,3921744,2013-08-22 11:11:11.111111,015
DUP00004,STF,MOHAMMAD MOHI UDDIN,,1971-12-30,489 Eric Track,Apt. 880,Lake Crystalbury,West Virginia,Lake Crystalbury,430-639-1171,+1-484-996-9653,430-639-1171,,,Maria Thomas,M,SUSP,2472278,2008-11-11 11:11:11.111111,019
DUP00006,STF,KAZI MASIHUR,RAHMAN,1956-06-11,901 Taylor Mountain,Apt. 046,Garciastad,New York,Garciastad,+1-564-217-0805x7335,3159430391,+1-564-217-0805x7335,001-248-728-1489x3252,kazi.masihur@example.com,Christopher Smith,C,SUSP,2107681,2020-07-06 11:11:11.111111,035
DUP00008,COR,KAZI MASIHUR,RAHMAN,,901 Taylor Mountain,Apt. 865,Garciastad,Virginia,Garciastad,+1-564-217-0805x2958,+1-403-910-5183x4738,+1-564-217-0805x2958,,kazi.masihur@gmail.com,,F,INACT,4063950,2006-03-20 11:11:11.111111,046
DUP00010,REG,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,New Mexico,Teresaburgh,653-876-7242,660.826.0647,653-876-7242,831.978.1080x132,sk.mahbub@example.com,Joshua Taylor,F,ACT,6664300,2009-09-28 11:11:11.111111,039
DUP00012,STF,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Texas,Teresaburgh,+1-653-876-7242x4843,+1-647-451-0799x1183,+1-653-876-7242x4843,001-898-454-3534,,,F,INACT,5996375,2014-06-16 11:11:11.111111,031
DUP00014,COR,SK MAHBUBLLAH,KAISA,1965-10-02,192 Frank Light,Suite 835,Teresaburgh,Connecticut,Teresaburgh,653-876-7242,(541)718-2449,653-876-7242,,,,M,ACT,9254768,2024-09-15 11:11:11.111111,011
DUP00016,COR,GOLAM MOHD ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 960,Franciscostad,Nevada,Franciscostad,+1-283-486-3794x9936,(704)850-5331,+1-283-486-3794x9936,+1-768-401-1280,golam.zubayed@example.com,,M,ACT,7761382,2020-11-23 11:11:11.111111,015
DUP00018,REG,GOLAM MOHAMMED ZUBAYED A,SHRAF,1987-09-06,433 Jill Springs,Apt. 727,Franciscostad,Nevada,Franciscostad,+1-283-486-3794x2514,+1-581-769-3406x088,+1-283-486-3794x2514,768.750.1429x40196,golam.zubayed@gmail.com,,C,SUSP,2859842,2013-02-03 11:11:11.111111,002
